id	word
PLX:1PL.pro	mi
PLX:1SG.pro	mi
PLX:2PL.pro	sina
PLX:2SG.pro	sina
PLX:3PL.pro	ona
PLX:3SG.pro	ona
PLX:DO.pp	e
PLX:S.pp	li
PLX:VOC.pp	o
PLX:ah.int	a
PLX:and.cnj	en
PLX:because.cnj	tan
PLX:but.cnj	taso
PLX:can.v	ken
PLX:from.pp	tan
PLX:inside.pp	insa
PLX:like.pp	nasin
PLX:moo.int	mu
PLX:of.cnj	pi
PLX:or.cnj	anu
PLX:other.pro	ante
PLX:this.pro	ni
PLX:to.pp	tawa
PLX:what.pro	seme
PWN:absent.a.01	weka
PWN:all.a.01	ale
PWN:bad.a.01	ike
PWN:battle.n.01	utala
PWN:be.v.03	lon
PWN:bird.n.01	waso
PWN:blue.s.01	laso
PWN:body.n.01	sijelo
PWN:building.n.01	tomo
PWN:cold.a.01	lele
PWN:color.n.01	kule
PWN:come.v.01	kama
PWN:container.n.01	poki
PWN:cover.v.01	len
PWN:damage.n.01	pakala
PWN:dark.a.01	pimeja
PWN:device.n.01	ilo
PWN:die.v.01	moli
PWN:dirty.a.01	jaki
PWN:do.v.03	pali
PWN:eat.v.01	moku
PWN:feeling.n.01	pilin
PWN:female.n.01	meli
PWN:fish.n.01	kala
PWN:foot.n.03	noka
PWN:front.n.04	sinpin
PWN:fruit.n.01	kili
PWN:fun.n.01	musi
PWN:furniture.n.01	supa
PWN:gas.n.01	kon
PWN:good.a.01	pona
PWN:grain.n.02	pan
PWN:group.n.01	kulupu
PWN:hand.n.01	luka
PWN:hard.a.03	kiwen
PWN:have.v.01	jo
PWN:head.n.04	lawa
PWN:hear.v.01	kute
PWN:hearing.n.02	kute
PWN:high.r.01	sewi
PWN:hill.n.01	nena
PWN:hole.n.01	lupa
PWN:hot.a.01	seli
PWN:hunt.v.01	alasa
PWN:insect.n.01	pipi
PWN:know.v.01	sona
PWN:land.n.04	ma
PWN:large.a.01	suli
PWN:light.n.01	suno
PWN:liquid.n.01	telo
PWN:love.v.01	olin
PWN:low.r.01	anpa
PWN:male.n.01	mije
PWN:mammal.n.01	soweli
PWN:moon.n.01	mun
PWN:mouth.n.01	uta
PWN:much.a.01	mute
PWN:name.n.01	nimi
PWN:near.r.01	poka
PWN:new.a.01	sin
PWN:no.r.03	ala
PWN:noise.n.01	kalama
PWN:number.n.02	nanpa
PWN:one.s.01	wan
PWN:open.v.01	open
PWN:parent.n.01	mama
PWN:paste.n.01	ko
PWN:person.n.01	jan
PWN:picture.n.01	sitelen
PWN:plant.n.02	kasi
PWN:pole.n.01	palisa
PWN:put.v.01	pana
PWN:rear.n.02	monsi
PWN:red.s.01	loje
PWN:reptile.n.01	akesi
PWN:rest.v.05	lape
PWN:round.a.01	sike
PWN:same.a.01	sama
PWN:see.v.01	lukin
PWN:sexual_activity.n.01	unpa
PWN:sheet.n.06	lipu
PWN:small.a.01	lili
PWN:speak.v.03	toki
PWN:stay.v.04	awen
PWN:strange.a.01	nasa
PWN:string.n.01	linja
PWN:strong.a.01	wawa
PWN:surface.n.01	selo
PWN:sweet.a.01	suwi
PWN:termination.n.05	pini
PWN:then.r.0	la
PWN:thing.n.04	ijo
PWN:time.n.02	tenpo
PWN:trade.v.04	esun
PWN:two.s.01	tu
PWN:use.v.01	kepeken
PWN:very.r.01	mute
PWN:want.v.02	wile
PWN:wealth.n.01	mani
PWN:white.a.01	walo
PWN:yellow.s.01	jelo
