id	Definition
PWN:a_bit.r.01	わずかに
PWN:abandon.v.01	見放す、置き去りにする
PWN:abandon.v.02	決して二度と要求しない意図を持ってやめる
PWN:abandon.v.04	維持するか、主張するのを止める
PWN:abate.v.02	量または強度がより少なくなる
PWN:abdomen.n.01	胸部と骨盤の間の脊椎動物の身体の部分
PWN:abdomen.n.01	胸部と骨盤の間の脊椎動物の身体の部分
PWN:ability.n.01	やり遂げることができるという特質
PWN:ability.n.02	何かするか、成し遂げるのに要求される性質（特に精神的な性質）の所有
PWN:abnormality.n.01	欠陥遺伝子や、発達の不十分さから生じる異常な身体状態
PWN:abort.v.01	完成前に終わる
PWN:abortion.n.01	妊娠中絶
PWN:about-face.n.02	態度、原則または見解の大きな変化
PWN:about.r.03	地域または近所で
PWN:about.r.07	（行動または状態について）少し足りない、または、完全に終わっていない
PWN:above.r.02	より高い場所へ、またはその中で
PWN:abrasion.n.01	皮が引き裂かれる、または擦り切れてすりむいた部分
PWN:abridge.v.01	必須の要素を保持している間、範囲が減少する
PWN:absence.n.02	出席しないこと
PWN:absent.a.01	指定された場所にいないさま
PWN:absorb.v.04	また、比喩的に、取り入れる
PWN:absorb.v.09	その人の注意または時間の全てを消費する
PWN:abstain.v.02	消費しないことを選ぶ
PWN:abstinence.n.02	本能的欲望におぼれるのを控える行為または実践
PWN:abstractedness.n.01	他のすべてを除外した何かへののめりこみ
PWN:abstraction.n.01	ある特定の例に関係のない考えまたは概念
PWN:abstraction.n.06	特定の例から共通点を抽出することによって形成された一般概念
PWN:absurdity.n.02	嘲笑を誘う愚かさ
PWN:abuse.n.02	不快感を与えるまたは傷つける意図のある失礼な表現
PWN:academic_administrator.n.01	大学を管理する人
PWN:academician.n.03	大学で働く教育者
PWN:accelerate.v.01	より速く動く
PWN:accept.v.01	真実として考えるまたはとらえる
PWN:accept.v.02	与えられた、または勧められたものを喜んで受け取る
PWN:accept.v.03	肯定的な返事を与える
PWN:accept.v.04	好感をもって迎える
PWN:accept.v.05	グループか共同体に入ることを許可する
PWN:accept.v.08	持つまたは取れるように設計された
PWN:accept.v.09	委員会などから、公式に（レポート）を受けとる
PWN:access.n.03	来る道・帰る道
PWN:access.v.01	記憶装置から入手する、または取ってくる
PWN:accident.n.01	不運な災難
PWN:accident.n.02	はっきりした原因もなく突然または偶然起こること
PWN:accompany.v.02	一緒に行く、または動く
PWN:accomplishment.n.01	何かを成し遂げる行為
PWN:account.n.07	最近の取引とその結果による差引勘定の計算書
PWN:account.v.02	勘定を整理する
PWN:acculturation.n.02	1つの社会が共有するすべての知識と価値観
PWN:accumulate.v.02	集まるか、集合する
PWN:accumulation.n.03	蓄積する行為
PWN:accumulation.n.04	配当として払い出されずに資本に追加されていく利益
PWN:accurate.s.02	（考え、イメージ、表象、表現について）事実または真実に対して完全な一致によって特徴づけられる
PWN:accuse.v.01	告発をする
PWN:accustomed.s.02	一般的に使用される、または実践される
PWN:ace.n.03	気が遠くなるほどどんな分野にも熟練しただれか
PWN:acerate_leaf.n.01	針葉樹の葉
PWN:ache.v.02	存在しないものあるいは誰かを望む
PWN:achieve.v.01	努力で得る
PWN:acid.n.01	酸味を持っていて、リトマスを赤くし、塩を形成するために塩基と反応することができる水溶性化合物の総称
PWN:acid.s.03	酸の特徴を持っているさま
PWN:acknowledge.v.06	（誰かが）主張されたとうりであると受け入れ、またはその力と権限を受け入れる
PWN:acknowledgment.n.03	何かまたは誰かに気づいていることを示す言葉
PWN:acme.n.01	到達可能な最も高いレベルまたは等級
PWN:acorn.n.01	オークの果実：木質のカップの形の基部にあるなめらかな薄い壁の堅果
