id	style	word	pronunciation
PLX:1PL.pro		mí	mi˨ː
PLX:1SG.pro		jàz	ja˦z
PLX:2PL.pro		ví	ʋi˨ː
PLX:2SG.pro		tí	ti˨ː
PLX:3PL.pro		ôni	o˦ːni
PLX:3SG M.pro		òn	ɔ˦n
PLX:and.cnj		in	in
PLX:because of.pp		zarádi	zara˨ːdi
PLX:behind.pp		za	za
PLX:beside.pp		kràj	kra˦j
PLX:beside.pp		póleg	pɔ˨ːlɛɡ
PLX:can.v		môči	mo˦ːt͡ʃi
PLX:die (from accident).V		pogíniti	pɔɡi˨ːniti
PLX:everywhere.pro		povsód	pɔʋsɔ˨ːd
PLX:from here.adv		od tú	ɔd tu˨ː
PLX:get sick.V		oboléti	ɔbɔlɛ˨ːti
PLX:how many.pro		kóliko	kɔ˨ːlikɔ
PLX:how.pro		kakó	kakɔ˨ː
PLX:in front of.pp		pred	prɛd
PLX:or.cnj		áli	a˨ːli
PLX:that.pro		tó	tɔ˨ː
PLX:this.pro		tó	tɔ˨ː
PLX:under.pp		pod	pɔd
PLX:what.pro		káj	ka˨ːj
PLX:where.pro		kjé	kjɛ˨ː
PLX:where_to.pro		kám	ka˨ːm
PLX:who.pro		kdó	kdɔ˨ː
PLX:why.pro		zakáj	zaka˨ːj
PWN:abandon.v.02		zapustíti	zapusti˨ːti
PWN:abdomen.n.01		trébuh	trɛ˨ːbux
PWN:above.r.02		gôri	ɡo˦ːri
PWN:above.r.02		zgôraj	zɡo˦ːraj
PWN:act.v.02		délati	dɛ˨ːlati
PWN:add.v.01		pristáviti	prista˨ːʋiti
PWN:address.n.03		góvor	ɡɔ˨ːʋɔr
PWN:affect.v.05		ganíti	ɡani˨ːti
PWN:again.r.01		spét	spɛ˨ːt
PWN:age.n.01		dôba	do˦ːba
PWN:ahead.r.03		napréj	naprɛ˨ːj
PWN:aid.n.02		pomóč	pɔmɔ˨ːt͡ʃ
PWN:air.n.01		zràk	zra˦k
PWN:alive.a.01		žív	ʒi˨ːʋ
PWN:all.a.01		vsè	ʋsɛ˦
PWN:allege.v.01		dejáti	dɛja˨ːti
PWN:alone.r.02		sám	sa˨ːm
PWN:already.r.01		žè	ʒɛ˦
PWN:always.r.01		védno	ʋɛ˨ːdnɔ
PWN:always.r.01		zméraj	zmɛ˨ːraj
PWN:anger.v.01		jezíti	jɛzi˨ːti
PWN:anger.v.01		razbúriti	razbu˨ːriti
PWN:anger.v.02		jezíti se	jɛzi˨ːti sɛ
PWN:animal.n.01		živál	ʒiʋa˨ːl
PWN:animation.n.01		življênje	ʒiʋle˦ːnɛ
PWN:ant.n.01		mrávlja	mra˨ːʋla
PWN:apparel.n.01		obléka	ɔblɛ˨ːka
PWN:apple.n.01		jábolko	ja˨ːbɔlkɔ
PWN:april.n.01		apríl	apri˨ːl
PWN:apt.s.03		pámeten	pa˨ːmɛtɛn
PWN:area.n.01		dežêla	dɛʒe˦ːla
PWN:area.n.01		kràj	kra˦j
PWN:arise.v.03		vstájati	ʋsta˨ːjati
PWN:arise.v.03		vzdígniti se	ʋzdi˨ːɡniti sɛ
PWN:arm.n.01		rôka	ro˦ːka
PWN:arrive.v.01		prihájati	prixa˨ːjati
PWN:arrive.v.01		prispéti	prispɛ˨ːti
PWN:arrive.v.01		príti	pri˨ːti
PWN:arrow.n.02		puščíca	puʃt͡ʃi˨ːt͡sa
PWN:ascend.v.01		dvígati se	dʋi˨ːɡati sɛ
PWN:ash.n.01		pepél	pɛpɛ˨ːl
PWN:ask.v.02		prosíti	prɔsi˨ːti
PWN:ask.v.05		vprášati	ʋpra˨ːʃati
PWN:august.n.01		avgúst	aʋɡu˨ːst
PWN:aunt.n.01		strína	stri˨ːna
PWN:aunt.n.01		têta	te˦ːta
PWN:awaken.v.01		zbudíti	zbudi˨ːti
PWN:back.n.01		hrbèt	xrbɛ˦t
PWN:back.r.01		nazáj	naza˨ːj
PWN:back.r.02		zádaj	za˨ːdaj
PWN:bad.a.01		malopríden	malɔpri˨ːdɛn
PWN:bag.n.01		tobôlec	tɔbo˦ːlɛt͡s
PWN:bag.n.01		tórba	tɔ˨ːrba
PWN:bake.v.02		cvréti	t͡sʋrɛ˨ːti
PWN:bare.s.01		nág	na˨ːɡ
PWN:bark.n.01		lúbje	lu˨ːbjɛ
PWN:bark.n.01		skórja	skɔ˨ːra
PWN:bark.v.04		lájati	la˨ːjati
PWN:bathe.v.01		kópati se	kɔ˨ːpati sɛ
PWN:battle.n.01		bòj	bɔ˦j
PWN:battle.n.01		bórba	bɔ˨ːrba
PWN:bay.n.01		zalív	zali˨ːʋ
PWN:be_born.v.01		rodíti se	rɔdi˨ːti sɛ
PWN:bear.n.01		mêdved	me˦ːdʋɛd
PWN:beard.n.01		bráda	bra˨ːda
PWN:beautiful.a.01		krásen	kra˨ːsɛn
PWN:beautiful.a.01		lép	lɛ˨ːp
PWN:become.v.01		postáti	pɔsta˨ːti
PWN:bed.n.01		póstelja	pɔ˨ːstɛla
PWN:begin.v.03		začéti	zat͡ʃɛ˨ːti
PWN:believe.v.01		verjéti	ʋɛrɛ˨ːti
PWN:beloved.s.01		ljúb	lu˨ːb
PWN:beloved.s.01		míl	mi˨ːl
PWN:belt.n.02		pás	pa˨ːs
PWN:bend.v.01		zavíjati	zaʋi˨ːjati
PWN:benefit.n.02		príd	pri˨ːd
PWN:berry.n.01		jágoda	ja˨ːɡɔda
PWN:better.v.02		izbóljšati	izbɔ˨ːlʃati
PWN:between.r.02		izmed	izmɛd
PWN:between.r.02		med	mɛd
PWN:birch.n.02		bréza	brɛ˨ːza
PWN:bird.n.01		ptìč	pti˦t͡ʃ
PWN:bird.n.01		ptíca	pti˨ːt͡sa
PWN:bite.v.01		grísti	ɡri˨ːsti
PWN:bitter.s.06		grenák	ɡrɛna˨ːk
PWN:black.a.01		čŕn	t͡ʃə˨rn
PWN:blanket.n.01		odéja	ɔdɛ˨ːja
PWN:blast.v.07		stréljati	strɛ˨ːlati
PWN:blind.a.01		slép	slɛ˨ːp
PWN:blood.n.01		krí	kri˨ː
PWN:blow.v.01		píhniti	pi˨ːxniti
PWN:blow.v.02		píhati	pi˨ːxati
PWN:blue.s.01		móder	mɔ˨ːdɛr
PWN:blunt.s.02		skŕhan	skə˨rxan
PWN:blunt.s.02		tóp	tɔ˨ːp
PWN:board.n.02		deskà	dɛska˦
PWN:boast.v.01		baháti se	baxa˨ːti sɛ
PWN:boat.n.01		čóln	t͡ʃɔ˨ːln
PWN:body.n.01		teló	tɛlɔ˨ː
PWN:boil.v.01		kipéti	kipɛ˨ːti
PWN:boil.v.03		kúhati	ku˨ːxati
PWN:bone.n.01		kóst	kɔ˨ːst
PWN:book.n.01		knjíga	kni˨ːɡa
PWN:boot.n.01		škórenj	ʃkɔ˨ːrɛn
PWN:botch.v.01		pokváriti	pɔkʋa˨ːriti
PWN:boundary_line.n.01		mêja	me˦ːja
PWN:bow.n.04		lók	lɔ˨ːk
PWN:box.n.01		zabòj	zabɔ˦j
PWN:brain.n.01		možgáni	mɔʒɡa˨ːni
PWN:branch.n.02		véja	ʋɛ˨ːja
PWN:branchlet.n.01		véja	ʋɛ˨ːja
PWN:brawl.v.01		têpsti se	te˦ːpsti sɛ
PWN:bread.n.01		krùh	kru˦x
PWN:break.v.05		lomíti	lɔmi˨ːti
PWN:breast.n.02		nédrja	nɛ˨ːdra
PWN:breath.n.02		díh	di˨ːx
PWN:breathe.v.01		díhati	di˨ːxati
PWN:bridge.n.01		móst	mɔ˨ːst
PWN:bright.a.01		svetèl	sʋɛtɛ˦l
PWN:bring.v.01		prinêsti	prine˦ːsti
PWN:brook.n.01		pôtok	po˦ːtɔk
PWN:broom.n.01		mêtla	me˦ːtla
PWN:brother.n.01		bràt	bra˦t
PWN:brow.n.01		čêlo	t͡ʃe˦ːlɔ
PWN:bucket.n.01		vêdro	ʋe˦ːdrɔ
