id	Definition
PWN:abnormality.n.01	suatu kondisi fisik yang abnormal akibat gen cacat atau defisiensi pertumbuhan
PWN:abrasion.n.01	daerah tergerus di mana kulit tercabik atau terkelupas
PWN:abstinence.n.02	tindakan menahan diri daripada
PWN:abstraction.n.06	konsep umum yang dibentuk oleh mengekstraksi fitur-fitur umum
PWN:academic_administrator.n.01	administrator di perguruan tinggi atau universitas
PWN:accident.n.02	apa pun yang terjadi tiba-tiba atau secara kebetulan tanpa penyebab yang jelas
PWN:account.n.07	bilangan yang tepat sudah disemak
PWN:acme.n.01	tingkat tertinggi yang bisa dicapai
PWN:acquiring.n.01	tindakan untuk mendapatkan sesuatu
PWN:acrimonious.s.01	berasa marah dan kecewa
PWN:act_of_god.n.01	bencana alam dan tidak dapat dihindari
PWN:actinium.n.01	ditemukan dalam bijih uranium
PWN:activeness.n.02	bergerak atau bertindak cepat dan penuh semangat
PWN:address.v.01	menujukan kata-kata kepada
PWN:address.v.09	menujukan kata-kata kepada
PWN:adhesive_material.n.01	substansi yang menyatukan permukaan
PWN:adobe.n.02	bata jemuran yang digunakan di iklim panas kering
PWN:advance.n.05	bayaran sepenuhnya terlebih dahulu
PWN:advent.n.01	kedatangan yang telah ditunggu (terutama dari sesuatu yang penting)
PWN:affair.n.02	hubungan seksual di luar nikah
PWN:affect.n.01	aspek kesadaran perasaan atau emosi
PWN:affect.v.05	membuat orang tertarik dengannya
PWN:affliction.n.03	menyebabkan penderitaan besar dan marabahaya
PWN:agreement.n.03	karakter dan pendapat orang
PWN:aid.n.03	uang untuk mendukung layak/tidaknya seseorang
PWN:ailment.n.01	suatu alasan untuk mengeluh
PWN:airfield.n.01	tempat di mana pesawat lepas landas dan mendarat
PWN:airport.n.01	lapangan terbang yang dilengkapismenara kontrol dan hangar serta akomodasi
PWN:alarm.v.02	memberi tahu supaya bersiap sedia karena bahaya
PWN:alcoholic.n.01	orang yang minum alkohol secara berlebihan
PWN:alliance.n.01	keadaan menjadi sekutu atau konfederasi
PWN:allotment.n.02	menggunting gambar dari kad
PWN:americium.n.01	unsur logam radioaktif transuranic
PWN:angular_shape.n.01	bentuk yang bersudut-sudut
PWN:animation.n.01	kondisi hidup atau menjadi hidup
PWN:anomaly.n.02	seseorang yang luar biasa
PWN:anorexia.n.01	suatu gangguan makan berkepanjangan karena kehilangan selera
PWN:antimony.n.01	unsur logam yang memiliki empat bentuk allotropic
PWN:aperture.n.02	sesuatu yang mengalami bukaan alami
PWN:appear.v.02	timbul dengan tiba-tiba
PWN:appearance.n.01	aspek terlihat dari seseorang
